scope,feature_group,fold,balanced_accuracy,images,features
Tables,arrangement_4x4_only,5,0.6,52,32
Tables,arrangement_4x4_only,mean,0.7100000000000001,52,32
Tables,arrangement_8x8_only,1,0.5833333333333333,52,80
Tables,arrangement_8x8_only,2,0.5,52,80
Tables,arrangement_8x8_only,3,0.8,52,80
Tables,arrangement_8x8_only,4,0.7,52,80
Tables,arrangement_8x8_only,5,0.6,52,80
Tables,arrangement_8x8_only,mean,0.6366666666666666,52,80
Tables,quantity_plus_arrangement,1,0.8333333333333333,52,106
Tables,quantity_plus_arrangement,2,0.5,52,106
Tables,quantity_plus_arrangement,3,0.8,52,106
Tables,quantity_plus_arrangement,4,0.8,52,106
Tables,quantity_plus_arrangement,5,0.7,52,106
Tables,quantity_plus_arrangement,mean,0.7266666666666668,52,106
UIScreenshots,quantity_only,1,0.8333333333333333,30,10
UIScreenshots,quantity_only,2,0.6666666666666666,30,10
UIScreenshots,quantity_only,3,0.3333333333333333,30,10
UIScreenshots,quantity_only,4,0.5,30,10
UIScreenshots,quantity_only,5,0.8333333333333333,30,10
UIScreenshots,quantity_only,mean,0.6333333333333332,30,10
UIScreenshots,arrangement_only,1,1.0,30,96
UIScreenshots,arrangement_only,2,0.6666666666666666,30,96
UIScreenshots,arrangement_only,3,1.0,30,96
UIScreenshots,arrangement_only,4,0.6666666666666666,30,96
UIScreenshots,arrangement_only,5,0.8333333333333333,30,96
UIScreenshots,arrangement_only,mean,0.8333333333333333,30,96
UIScreenshots,arrangement_base_only,1,0.8333333333333333,30,16
UIScreenshots,arrangement_base_only,2,0.5,30,16
UIScreenshots,arrangement_base_only,3,0.8333333333333333,30,16
UIScreenshots,arrangement_base_only,4,0.6666666666666666,30,16
UIScreenshots,arrangement_base_only,5,0.5,30,16
UIScreenshots,arrangement_base_only,mean,0.6666666666666666,30,16
UIScreenshots,arrangement_4x4_only,1,0.8333333333333333,30,32
UIScreenshots,arrangement_4x4_only,2,0.8333333333333333,30,32
UIScreenshots,arrangement_4x4_only,3,0.8333333333333333,30,32
UIScreenshots,arrangement_4x4_only,4,0.6666666666666666,30,32
UIScreenshots,arrangement_4x4_only,5,0.5,30,32
UIScreenshots,arrangement_4x4_only,mean,0.7333333333333333,30,32
UIScreenshots,arrangement_8x8_only,1,1.0,30,80
UIScreenshots,arrangement_8x8_only,2,0.6666666666666666,30,80
UIScreenshots,arrangement_8x8_only,3,0.8333333333333333,30,80
UIScreenshots,arrangement_8x8_only,4,0.6666666666666666,30,80
UIScreenshots,arrangement_8x8_only,5,0.8333333333333333,30,80
UIScreenshots,arrangement_8x8_only,mean,0.8,30,80
UIScreenshots,quantity_plus_arrangement,1,1.0,30,106
UIScreenshots,quantity_plus_arrangement,2,0.8333333333333333,30,106
UIScreenshots,quantity_plus_arrangement,3,1.0,30,106
UIScreenshots,quantity_plus_arrangement,4,0.8333333333333333,30,106
UIScreenshots,quantity_plus_arrangement,5,1.0,30,106
UIScreenshots,quantity_plus_arrangement,mean,0.9333333333333332,30,106
