scope,feature_group,fold,balanced_accuracy,images,features
UIScreenshots,arrangement_base_only,5,0.9,100,16
UIScreenshots,arrangement_base_only,mean,0.85,100,16
UIScreenshots,arrangement_4x4_only,1,0.85,100,32
UIScreenshots,arrangement_4x4_only,2,0.7,100,32
UIScreenshots,arrangement_4x4_only,3,0.9,100,32
UIScreenshots,arrangement_4x4_only,4,0.95,100,32
UIScreenshots,arrangement_4x4_only,5,0.95,100,32
UIScreenshots,arrangement_4x4_only,mean,0.8699999999999999,100,32
UIScreenshots,arrangement_8x8_only,1,0.85,100,80
UIScreenshots,arrangement_8x8_only,2,0.7,100,80
UIScreenshots,arrangement_8x8_only,3,0.8,100,80
UIScreenshots,arrangement_8x8_only,4,0.8,100,80
UIScreenshots,arrangement_8x8_only,5,0.95,100,80
UIScreenshots,arrangement_8x8_only,mean,0.82,100,80
UIScreenshots,quantity_plus_arrangement,1,0.85,100,106
UIScreenshots,quantity_plus_arrangement,2,0.8,100,106
UIScreenshots,quantity_plus_arrangement,3,0.85,100,106
UIScreenshots,quantity_plus_arrangement,4,0.8,100,106
UIScreenshots,quantity_plus_arrangement,5,0.95,100,106
UIScreenshots,quantity_plus_arrangement,mean,0.85,100,106
